分类: 📺央视频道, 名称: CCTV1, 总数: 243, 有效: 24, 有效率: 9.88%, IPv4: 243, IPv6: 0, 最小延迟: 54 ms, 最高速率: 69.65 M/s, 平均速率: 2.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.98, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV2, 总数: 205, 有效: 15, 有效率: 7.32%, IPv4: 205, IPv6: 0, 最小延迟: 51 ms, 最高速率: 69.70 M/s, 平均速率: 3.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.97, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV3, 总数: 193, 有效: 19, 有效率: 9.84%, IPv4: 193, IPv6: 0, 最小延迟: 34 ms, 最高速率: 12.98 M/s, 平均速率: 2.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.52, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV4, 总数: 239, 有效: 13, 有效率: 5.44%, IPv4: 239, IPv6: 0, 最小延迟: 11 ms, 最高速率: 11.88 M/s, 平均速率: 2.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.74, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV5, 总数: 206, 有效: 15, 有效率: 7.28%, IPv4: 206, IPv6: 0, 最小延迟: 48 ms, 最高速率: 74.01 M/s, 平均速率: 5.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.91, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV6, 总数: 193, 有效: 19, 有效率: 9.84%, IPv4: 193, IPv6: 0, 最小延迟: 160 ms, 最高速率: 13.52 M/s, 平均速率: 2.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.11, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV7, 总数: 211, 有效: 19, 有效率: 9.00%, IPv4: 211, IPv6: 0, 最小延迟: 63 ms, 最高速率: 53.40 M/s, 平均速率: 1.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.30, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV8, 总数: 184, 有效: 16, 有效率: 8.70%, IPv4: 184, IPv6: 0, 最小延迟: 14 ms, 最高速率: 68.55 M/s, 平均速率: 1.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.03, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV9, 总数: 201, 有效: 22, 有效率: 10.95%, IPv4: 201, IPv6: 0, 最小延迟: 31 ms, 最高速率: 10.11 M/s, 平均速率: 3.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.91, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV10, 总数: 195, 有效: 15, 有效率: 7.69%, IPv4: 195, IPv6: 0, 最小延迟: 32 ms, 最高速率: 57.59 M/s, 平均速率: 2.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.03, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV11, 总数: 184, 有效: 12, 有效率: 6.52%, IPv4: 184, IPv6: 0, 最小延迟: 12 ms, 最高速率: 12.24 M/s, 平均速率: 2.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.12, 视频编解码器: h264, 音频编解码器: mp2
